Time,Wittener Str. Gesamt,Wittener Str. Gesamt Wittener Str. stadteinwärts,Wittener Str. Gesamt Wittener Str. stadtauswärts
20190101,76,41,35
20190102,433,215,218
20190103,398,190,208
20190104,324,159,165
20190105,192,104,88
20190106,121,53,68
20190107,441,220,221
20190108,364,182,182
20190109,470,241,229
20190110,518,253,265
20190111,386,183,203
20190112,199,95,104
20190113,74,34,40
20190114,476,236,240
20190115,502,254,248
20190116,517,262,255
20190117,408,197,211
20190118,482,239,243
20190119,313,157,156
20190120,161,79,82
20190121,456,229,227
20190122,440,233,207
20190123,245,129,116
20190124,343,178,165
20190125,367,180,187
20190126,204,113,91
20190127,99,49,50
20190128,274,141,133
20190129,474,236,238
20190130,291,152,139
20190131,235,126,109
20190201,320,143,177
20190202,154,74,80
20190203,145,75,70
20190204,400,194,206
20190205,451,226,225
20190206,442,224,218
20190207,442,221,221
20190208,433,230,203
20190209,275,135,140
20190210,73,27,46
20190211,434,219,215
20190212,574,288,286
20190213,537,273,264
20190214,659,345,314
20190215,732,373,359
20190216,603,286,317
20190217,453,237,216
20190218,782,374,408
20190219,651,337,314
20190220,647,323,324
20190221,647,317,330
20190222,616,306,310
20190223,558,269,289
20190224,501,253,248
20190225,849,413,436
20190226,867,444,423
20190227,830,429,401
20190228,764,377,387
20190301,477,233,244
20190302,397,181,216
20190303,91,39,52
20190304,281,142,139
20190305,547,273,274
20190306,512,253,259
20190307,421,214,207
20190308,532,264,268
20190309,237,124,113
20190310,104,53,51
20190311,337,177,160
20190312,513,260,253
20190313,350,193,157
20190314,317,159,158
20190315,336,167,169
20190316,302,151,151
20190317,128,57,71
20190318,525,250,275
20190319,683,353,330
20190320,673,334,339
20190321,827,428,399
20190322,966,478,488
20190323,460,225,235
20190324,421,230,191
20190325,443,222,221
20190326,588,293,295
20190327,710,341,369
20190328,729,373,356
20190329,884,458,426
20190330,740,372,368
20190331,301,144,157
20190401,940,470,470
20190402,709,366,343
20190403,523,253,270
20190404,532,270,262
20190405,657,327,330
